     27983:	symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
     27983:	symbol=__progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=argp_err_exit_status;  lookup in file=./hello [0]
     27983:	symbol=argp_err_exit_status;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=mallwatch;  lookup in file=./hello [0]
     27983:	symbol=mallwatch;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__rcmd_errstr;  lookup in file=./hello [0]
     27983:	symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__libc_enable_secure;  lookup in file=./hello [0]
     27983:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__libc_enable_secure;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=_res_hconf;  lookup in file=./hello [0]
     27983:	symbol=_res_hconf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=malloc;  lookup in file=./hello [0]
     27983:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=getdate_err;  lookup in file=./hello [0]
     27983:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=svcauthdes_stats;  lookup in file=./hello [0]
     27983:	symbol=svcauthdes_stats;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__tzname;  lookup in file=./hello [0]
     27983:	symbol=__tzname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__timezone;  lookup in file=./hello [0]
     27983:	symbol=__timezone;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_rtld_global_ro;  lookup in file=./hello [0]
     27983:	symbol=_rtld_global_ro;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_rtld_global_ro;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=__malloc_initialize_hook;  lookup in file=./hello [0]
     27983:	symbol=__malloc_initialize_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=optarg;  lookup in file=./hello [0]
     27983:	symbol=optarg;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__ctype_tolower;  lookup in file=./hello [0]
     27983:	symbol=__ctype_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__ctype_toupper;  lookup in file=./hello [0]
     27983:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_IO_2_1_stderr_;  lookup in file=./hello [0]
     27983:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_IO_2_1_stderr_;  lookup in file=./hello [0]
     27983:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__ctype_b;  lookup in file=./hello [0]
     27983:	symbol=__ctype_b;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=argp_program_version_hook;  lookup in file=./hello [0]
     27983:	symbol=argp_program_version_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__after_morecore_hook;  lookup in file=./hello [0]
     27983:	symbol=__after_morecore_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__environ;  lookup in file=./hello [0]
     27983:	symbol=__environ;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_IO_2_1_stdout_;  lookup in file=./hello [0]
     27983:	symbol=_IO_2_1_stdout_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_IO_2_1_stdout_;  lookup in file=./hello [0]
     27983:	symbol=_IO_2_1_stdout_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__ctype32_b;  lookup in file=./hello [0]
     27983:	symbol=__ctype32_b;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__curbrk;  lookup in file=./hello [0]
     27983:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=argp_program_version;  lookup in file=./hello [0]
     27983:	symbol=argp_program_version;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__daylight;  lookup in file=./hello [0]
     27983:	symbol=__daylight;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__memalign_hook;  lookup in file=./hello [0]
     27983:	symbol=__memalign_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__malloc_hook;  lookup in file=./hello [0]
     27983:	symbol=__malloc_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__free_hook;  lookup in file=./hello [0]
     27983:	symbol=__free_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_nl_domain_bindings;  lookup in file=./hello [0]
     27983:	symbol=_nl_domain_bindings;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_nl_msg_cat_cntr;  lookup in file=./hello [0]
     27983:	symbol=_nl_msg_cat_cntr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=argp_program_bug_address;  lookup in file=./hello [0]
     27983:	symbol=argp_program_bug_address;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__key_decryptsession_pk_LOCAL;  lookup in file=./hello [0]
     27983:	symbol=__key_decryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=h_errlist;  lookup in file=./hello [0]
     27983:	symbol=h_errlist;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=program_invocation_short_name;  lookup in file=./hello [0]
     27983:	symbol=program_invocation_short_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=optind;  lookup in file=./hello [0]
     27983:	symbol=optind;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_starting_up;  lookup in file=./hello [0]
     27983:	symbol=_dl_starting_up;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_starting_up;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=stdout;  lookup in file=./hello [0]
     27983:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=obstack_alloc_failed_handler;  lookup in file=./hello [0]
     27983:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=error_print_progname;  lookup in file=./hello [0]
     27983:	symbol=error_print_progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=optopt;  lookup in file=./hello [0]
     27983:	symbol=optopt;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_IO_funlockfile;  lookup in file=./hello [0]
     27983:	symbol=_IO_funlockfile;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=obstack_exit_failure;  lookup in file=./hello [0]
     27983:	symbol=obstack_exit_failure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=loc1;  lookup in file=./hello [0]
     27983:	symbol=loc1;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=error_message_count;  lookup in file=./hello [0]
     27983:	symbol=error_message_count;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__libdl_freeres;  lookup in file=./hello [0]
     27983:	symbol=__libdl_freeres;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__libdl_freeres;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=_IO_2_1_stdin_;  lookup in file=./hello [0]
     27983:	symbol=_IO_2_1_stdin_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_IO_2_1_stdin_;  lookup in file=./hello [0]
     27983:	symbol=_IO_2_1_stdin_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=loc2;  lookup in file=./hello [0]
     27983:	symbol=loc2;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=program_invocation_name;  lookup in file=./hello [0]
     27983:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=free;  lookup in file=./hello [0]
     27983:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__fpu_control;  lookup in file=./hello [0]
     27983:	symbol=__fpu_control;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=re_syntax_options;  lookup in file=./hello [0]
     27983:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=stdin;  lookup in file=./hello [0]
     27983:	symbol=stdin;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__check_rhosts_file;  lookup in file=./hello [0]
     27983:	symbol=__check_rhosts_file;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=opterr;  lookup in file=./hello [0]
     27983:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__ctype32_toupper;  lookup in file=./hello [0]
     27983:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__realloc_hook;  lookup in file=./hello [0]
     27983:	symbol=__realloc_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_argv;  lookup in file=./hello [0]
     27983:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_argv;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=./hello [0]
     27983:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=__libc_start_main;  lookup in file=./hello [0]
     27983:	symbol=__libc_start_main;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__gmon_start__;  lookup in file=./hello [0]
     27983:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=_ITM_registerTMCloneTable;  lookup in file=./hello [0]
     27983:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=__cxa_finalize;  lookup in file=./hello [0]
     27983:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=putchar;  lookup in file=./hello [0]
     27983:	symbol=putchar;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=strncmp;  lookup in file=./hello [0]
     27983:	symbol=strncmp;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=puts;  lookup in file=./hello [0]
     27983:	symbol=puts;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=fclose;  lookup in file=./hello [0]
     27983:	symbol=fclose;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__stack_chk_fail;  lookup in file=./hello [0]
     27983:	symbol=__stack_chk_fail;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=printf;  lookup in file=./hello [0]
     27983:	symbol=printf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=fputs;  lookup in file=./hello [0]
     27983:	symbol=fputs;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=fgets;  lookup in file=./hello [0]
     27983:	symbol=fgets;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__isoc99_sscanf;  lookup in file=./hello [0]
     27983:	symbol=__isoc99_sscanf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=fopen;  lookup in file=./hello [0]
     27983:	symbol=fopen;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=getrusage;  lookup in file=./hello [0]
     27983:	symbol=getrusage;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=perror;  lookup in file=./hello [0]
     27983:	symbol=perror;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=sprintf;  lookup in file=./hello [0]
     27983:	symbol=sprintf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=exit;  lookup in file=./hello [0]
     27983:	symbol=exit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_r_debug;  lookup in file=./hello [0]
     27983:	symbol=_r_debug;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_r_debug;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=free;  lookup in file=./hello [0]
     27983:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_catch_exception;  lookup in file=./hello [0]
     27983:	symbol=_dl_catch_exception;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=malloc;  lookup in file=./hello [0]
     27983:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_signal_exception;  lookup in file=./hello [0]
     27983:	symbol=_dl_signal_exception;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=calloc;  lookup in file=./hello [0]
     27983:	symbol=calloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=realloc;  lookup in file=./hello [0]
     27983:	symbol=realloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_signal_error;  lookup in file=./hello [0]
     27983:	symbol=_dl_signal_error;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_catch_error;  lookup in file=./hello [0]
     27983:	symbol=_dl_catch_error;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	
     27983:	calling init: /lib/x86_64-linux-gnu/libc.so.6
     27983:	
     27983:	
     27983:	initialize program: ./hello
     27983:	
     27983:	
     27983:	transferring control: ./hello
     27983:	
     27983:	symbol=_dl_find_dso_for_object;  lookup in file=./hello [0]
     27983:	symbol=_dl_find_dso_for_object;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_dl_find_dso_for_object;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=__tunable_get_val;  lookup in file=./hello [0]
     27983:	symbol=__tunable_get_val;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__tunable_get_val;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	
     27983:	calling fini: ./hello [0]
     27983:	
hello!! UT Austin
argc 1
argv[0] =  ./hello

title,vmpeak,vmsize,vmhwm,vmdata,vmstack,vmexec,vmlibd,vmswap,totaltime,usertime,systemtime
Hello,2496,2496,508,176,132,4,1652,0, 0.002, 0.002, 0.000
